track_name,artist_name,album_name,duration_minutes,spotify_url
Kajagoogoo - Instrumental,Kajagoogoo,White Feathers,3:12,https://open.spotify.com/track/5aXV9K8dK52S0KbUw3ZCX0
Instruments of Destruction,N.R.G.,Transformers,3:21,https://open.spotify.com/track/3vJ7lqX60lrJZCW4E2eKyZ
We're Doing a Sequel,The Muppets,Muppets Most Wanted (Original Motion Picture Soundtrack),4:16,https://open.spotify.com/track/3CWiyGDaLRKVUS6ahKiAv1
I Love This Feeling,Nas,Magic 3,3:17,https://open.spotify.com/track/3UDor25dsBp55meFUeOpx2
I Was in Love,Jem Cooke,I Am Jem Cooke,4:21,https://open.spotify.com/track/0b3xDJR29smcJvM0YDwLFy
Hollywood Star With The Hollywood Blues,Clayton Doley,Explosive Love,5:24,https://open.spotify.com/track/2CnYxggWtKNFzKnryj7EPz
"Stop, Start Again",Jack Ziesemer,Warm Days of the New Harvest,3:16,https://open.spotify.com/track/1fdVXxbMKp9HV02OMGFEXp
Spring - Instrumental,Thomas Newman,Little Women Soundtrack,0:57,https://open.spotify.com/track/35wnRv31zcuMwBKpNkUrHa
Ghostbusters - Instrumental Version,Ray Parker Jr.,Ghostbusters (Original Motion Picture Soundtrack) [1984],4:47,https://open.spotify.com/track/19VeWKoRdsfNeiqZjyahWI
Love Theme from St. Elmo's Fire - Instrumental,David Foster,St. Elmo's Fire - Music From The Original Motion Picture Soundtrack,3:30,https://open.spotify.com/track/4LoBPiqiPBzKqSahyxyAul
All He Needs,Smile,All Roads Lead to the Shore,3:29,https://open.spotify.com/track/6mUq2WXFrK0lvqcBgqOqIi
"Instrumental from ""Waqt Ki Pukar""",Bappi Lahiri,Waqt Ki Pukar (Original Motion Picture Soundtrack),3:33,https://open.spotify.com/track/0cdNmmt6HP1WcCsNdyGAHx
Take on Me (Instrumental Guitar),Go Fret,80s Instrumental Guitar Covers,4:36,https://open.spotify.com/track/33m8vVb6nFsOWj2mZn72t5
1984,Saffari,1984,3:12,https://open.spotify.com/track/5LaHr4DB00BIrKyA9lMH0J
Manzil Manzil Theme - Instrumental,R. D. Burman,Manzil Manzil (Original Motion Picture Soundtrack),1:47,https://open.spotify.com/track/297VbQ9RTIKCWlZ8UqAHaf
Sharaabi Theme - Instrumental,Bappi Lahiri,Sharaabi (Original Motion Picture Soundtrack),1:49,https://open.spotify.com/track/1WxqglWQgVj51G9WH8Ltis
Ghame Tkeshi,Instrumental Ensemble,Gulubrkvilo Bati Tasikos Tavgadasavali (Original Motion Picture Soundtrack),2:04,https://open.spotify.com/track/288NaJH1cQGiY04DJL8XG8
"Theme from ""Gulubrkvilo Bati Tasikos Tavgadasavali"" II",Instrumental Ensemble,Gulubrkvilo Bati Tasikos Tavgadasavali (Original Motion Picture Soundtrack),0:41,https://open.spotify.com/track/6yDbGgPs6KK5ueM1nCvwsE
"Theme from ""Gulubrkvilo Bati Tasikos Tavgadasavali"" I",Instrumental Ensemble,Gulubrkvilo Bati Tasikos Tavgadasavali (Original Motion Picture Soundtrack),1:15,https://open.spotify.com/track/1P8xrut7W0JoOP7iopGOVs
Diamond Mind (with Nipsey Hussle & Ty Dolla $ign),Dr. Dre,Diamond Mind (with Nipsey Hussle & Ty Dolla $ign),4:53,https://open.spotify.com/track/6v9trAkgvJuexOnxQXum0h
Instrumental,Dystopia,The Aftermath,3:12,https://open.spotify.com/track/6CDBQBIoDugy8qLafENTSa
Dark Dystopian Distorted Cello,Rafael Krux,Dark Dystopian Distorted Cello,3:19,https://open.spotify.com/track/6p3r7EPDmKEoT8BtIVAMpF
Dystopia,Secession Studios,Melancholia,4:43,https://open.spotify.com/track/4EC3WLZyKbzgCYQwF9HpJB
