track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Emotional Ambient Piano,OlexandrMusic,Emotional Ambient Piano,2022-07-08,1F7dGf03Hpf7qkfjQINjSS,https://open.spotify.com/track/1F7dGf03Hpf7qkfjQINjSS,introspective poignant somber
Nostalgic Synthwave (Sleep Music),Silent Rhythm,Space Ambient (Sleep Music),2022-08-15,73aA37o4yNP390HLuxnpGh,https://open.spotify.com/track/73aA37o4yNP390HLuxnpGh,introspective poignant somber
Introspection,Estas Tonne,"Anthology, Vol. I & Vol. II (Live)",2021-06-18,5IZvAmEfPNaVOTkubNVr84,https://open.spotify.com/track/5IZvAmEfPNaVOTkubNVr84,introspective poignant somber
Ambient Introspection Leading to Inner Peace,Ricky Trye,"Ambient Piano Meditations: Calm Music for Introspection, Rest and Relaxation",2021-01-21,1atX1iRvRhevSiuUUDnze2,https://open.spotify.com/track/1atX1iRvRhevSiuUUDnze2,introspective poignant somber
Introspection,Yan Springett,Introspection,2022-11-04,7CQoXp03YJAgvkhQZA7nxq,https://open.spotify.com/track/7CQoXp03YJAgvkhQZA7nxq,introspective poignant somber
Ambient Sad Piano,DS Productions,Ambient Sad Piano,2020-06-24,5EmcZaEDX7da0wWxklX71m,https://open.spotify.com/track/5EmcZaEDX7da0wWxklX71m,introspective poignant somber
Ambient Emotional Piano,DS Productions,Ambient Emotional Piano,2021-01-02,053kba2hsZW5OuCxSpP3XI,https://open.spotify.com/track/053kba2hsZW5OuCxSpP3XI,introspective poignant somber
Introspection - Edit,Laraaji,Introspection (Edit),2017-07-19,4SqfCU4jNDOqP8qKcSpMU9,https://open.spotify.com/track/4SqfCU4jNDOqP8qKcSpMU9,introspective poignant somber
Introspection,Avith Ortega,Sinergy,2017-03-11,47Q5CABpsFCRfFFGfnNwiP,https://open.spotify.com/track/47Q5CABpsFCRfFFGfnNwiP,introspective poignant somber
Introspect,Joe Bongiorno,Somewhere Within - Solo Piano,2007-07-16,1hLPWOkehw3e2GtqKShTeG,https://open.spotify.com/track/1hLPWOkehw3e2GtqKShTeG,introspective poignant somber
introspection,tomcbumpz,Melodic Nostalgic,2021-01-22,1yd3FIob1WtM7fRbqwFLaw,https://open.spotify.com/track/1yd3FIob1WtM7fRbqwFLaw,introspective poignant somber
Melancholic Moment - Strings Version,Slow Rising Hope,Two Trios (Strings Version),2022-01-08,3tApqv72ZIdIItTnXT5woL,https://open.spotify.com/track/3tApqv72ZIdIItTnXT5woL,introspective poignant somber
A Morning of Introspection,Anaamaly,Geometric Moods (432 Hz),2021-09-12,3WdzCs9Tnht8FMx7nDcylI,https://open.spotify.com/track/3WdzCs9Tnht8FMx7nDcylI,introspective poignant somber
Introspection,Hoenix,Introspection,2019-02-01,1NfwcxpcT9c4AA09KtabBb,https://open.spotify.com/track/1NfwcxpcT9c4AA09KtabBb,introspective poignant somber
Introspective Illusions,Cooper Sams,Enchanted Eden & Introspective Illusions,2023-05-03,2UqBobvn89LVzQeUdAInpZ,https://open.spotify.com/track/2UqBobvn89LVzQeUdAInpZ,introspective poignant somber
Instrumental,The Microphones,"The Glow, Pt. 2",2001-09-11,4b9pSvIz68kJOxE7dBccRJ,https://open.spotify.com/track/4b9pSvIz68kJOxE7dBccRJ,introspective poignant somber
Introspection,Ron Well,Introspection,2023-01-19,2cZJIUh0N1GkzZr3YjL5zN,https://open.spotify.com/track/2cZJIUh0N1GkzZr3YjL5zN,introspective poignant somber
Interlude,Flatsound,"Somewhere in the Distance, Somewhere Toward the Mountains",2019-02-21,2pRuK9xKrAqXHWe30LFe2F,https://open.spotify.com/track/2pRuK9xKrAqXHWe30LFe2F,introspective poignant somber
A Further Look at Loss,Andrew Wasylyk,Fugitive Light and Themes of Consolation,2020-09-04,3aEsKfhk4cNr4XN3N1u8fa,https://open.spotify.com/track/3aEsKfhk4cNr4XN3N1u8fa,introspective poignant somber
Intro,Mk.gee,A Museum Of Contradiction,2020-05-22,6J1JidsS8EP1JLSKueyVCl,https://open.spotify.com/track/6J1JidsS8EP1JLSKueyVCl,introspective poignant somber
A Slow Lesson In Introspection,36,Music For Isolation (Suite),2021-03-17,54mdLDu9YUPyTOdKnjnKga,https://open.spotify.com/track/54mdLDu9YUPyTOdKnjnKga,introspective poignant somber
Poignant (Emotional Piano Instrumental),Moesync,Melting (Emotional Piano Instrumentals),2024-10-06,0Jx0cXXr3CM9zv8zrFmy7n,https://open.spotify.com/track/0Jx0cXXr3CM9zv8zrFmy7n,introspective poignant somber
Nocturnal Reflections in Moonlight,Ambientalism,Blissful Serenades,2021-07-07,0UZHuO5tKxx3CHM42JMG8S,https://open.spotify.com/track/0UZHuO5tKxx3CHM42JMG8S,introspective poignant somber
Introspection,Dream Sounds,"Dream Sounds, Vol. 4",2022-03-28,1jbISX828xDJQSVf4MrAps,https://open.spotify.com/track/1jbISX828xDJQSVf4MrAps,introspective poignant somber
