track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Prologue,Gísli Gunnarsson,Reverence,2022-08-08,3wq9WcSq254bgomlxL1m8p,https://open.spotify.com/track/3wq9WcSq254bgomlxL1m8p,atmospheric narrative evocative
Ambient Emotional Cinematic,Romansenykmusic,Soft Cinematic Soundtracks,2020-03-19,3iRW391RwTm8QN9jSqjwmQ,https://open.spotify.com/track/3iRW391RwTm8QN9jSqjwmQ,atmospheric narrative evocative
"Enchanted Lands, Vol. I",The Guild of Ambience,"Enchanted Lands, Vol. I",2017-01-03,7y1Tcd50q87U8bIOA9Stda,https://open.spotify.com/track/7y1Tcd50q87U8bIOA9Stda,atmospheric narrative evocative
"Enchanted Lands, Vol. II",The Guild of Ambience,"Enchanted Lands, Vol. II",2017-08-20,3BNjgAYJVWrCG7jP9Sr66l,https://open.spotify.com/track/3BNjgAYJVWrCG7jP9Sr66l,atmospheric narrative evocative
Prelude,Arctic Lake,Closer,2017,5YD2qNHfC58SskuaC88sQm,https://open.spotify.com/track/5YD2qNHfC58SskuaC88sQm,atmospheric narrative evocative
Emotional Ambient Piano,OlexandrMusic,Emotional Ambient Piano,2022-07-08,1F7dGf03Hpf7qkfjQINjSS,https://open.spotify.com/track/1F7dGf03Hpf7qkfjQINjSS,atmospheric narrative evocative
Epilogue,Ólafur Arnalds,Epilogue,2021-02-19,7lEfD3Sz6ibitGq0UanGMr,https://open.spotify.com/track/7lEfD3Sz6ibitGq0UanGMr,atmospheric narrative evocative
Magic Forest,Moonlynx,"Fantasy Ambient, Vol. 1",2022-06-17,2KCzK97irsOOq2395FoiJL,https://open.spotify.com/track/2KCzK97irsOOq2395FoiJL,atmospheric narrative evocative
Remembrance,Sami J. Laine,Remembrance,2021-03-05,1g6xwErgJym8lwLdPowMmb,https://open.spotify.com/track/1g6xwErgJym8lwLdPowMmb,atmospheric narrative evocative
Our Destiny,Dominik A. Hecker,Our Destiny,2017-01-01,0rPnymnzk0DOO2dYiTbq5S,https://open.spotify.com/track/0rPnymnzk0DOO2dYiTbq5S,atmospheric narrative evocative
Ambient Travel,Michael Wyckoff,Bonetones (Original Game Soundtrack),2019-12-10,6xCCgnYGGDWVXqfHzdMkCQ,https://open.spotify.com/track/6xCCgnYGGDWVXqfHzdMkCQ,atmospheric narrative evocative
Enchanted Night,Moonlynx,"Fantasy Ambient, Vol. 1",2022-06-17,3b5gPyK7eA1dDMZYZd0ASi,https://open.spotify.com/track/3b5gPyK7eA1dDMZYZd0ASi,atmospheric narrative evocative
Environments,Berlinist,Gris (Original Game Soundtrack),2018-12-13,05PjXVo8aIYSNZBCWKOFFH,https://open.spotify.com/track/05PjXVo8aIYSNZBCWKOFFH,atmospheric narrative evocative
