track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Nostalgic Synthwave (Sleep Music),Silent Rhythm,Space Ambient (Sleep Music),2022-08-15,73aA37o4yNP390HLuxnpGh,https://open.spotify.com/track/73aA37o4yNP390HLuxnpGh,nostalgic solemn pensive
Emotional Ambient Piano,OlexandrMusic,Emotional Ambient Piano,2022-07-08,1F7dGf03Hpf7qkfjQINjSS,https://open.spotify.com/track/1F7dGf03Hpf7qkfjQINjSS,nostalgic solemn pensive
Ambient Sad Piano,DS Productions,Ambient Sad Piano,2020-06-24,5EmcZaEDX7da0wWxklX71m,https://open.spotify.com/track/5EmcZaEDX7da0wWxklX71m,nostalgic solemn pensive
Mélancolie,Endless Melancholy,Music for Quiet Mornings,2012-03-12,7i9JxjOzYk7y1dFgCdUPoG,https://open.spotify.com/track/7i9JxjOzYk7y1dFgCdUPoG,nostalgic solemn pensive
Nostalgic Sentiment - Violin Version,Nature Dreams,Nostalgic Sentiment,2023-02-03,7rFpou1bChWvk4k64aRQqQ,https://open.spotify.com/track/7rFpou1bChWvk4k64aRQqQ,nostalgic solemn pensive
Nostalgia,Floyd Nova,Nostalgia,2023-11-17,391l8re8aew1rvyNOXUYDD,https://open.spotify.com/track/391l8re8aew1rvyNOXUYDD,nostalgic solemn pensive
Sad Sadness (Piano & Orchestra) - Melancholic Music Sentimental Emotional Instrumental Love Song,Sad Piano Music Instrumental Collective Australia,Sad Piano Music 2: Emotional Sentimental Dramatic Melancholy Instrumental Love Songs,2016-12-06,2UHv6ccJEtPQOlDVRMoHj2,https://open.spotify.com/track/2UHv6ccJEtPQOlDVRMoHj2,nostalgic solemn pensive
A Nostalgic Dream,Peter Gundry,A Nostalgic Dream,2014-05-20,2kMX6CPNN7mC1SgmYhuEge,https://open.spotify.com/track/2kMX6CPNN7mC1SgmYhuEge,nostalgic solemn pensive
Ambient Instrumental Fall Studying and soft rain,Instrumental Music for Study Focus Concentration Sleepp,POV: Fall Autumn Dark Academia Instrumental Study Music vibes with Rain,2023-10-20,2AE0pBQ7UqrbIDZIYCTgId,https://open.spotify.com/track/2AE0pBQ7UqrbIDZIYCTgId,nostalgic solemn pensive
Nostalgic Sentiment - Piano Version,Nature Dreams,Nostalgic Sentiment,2023-02-03,7BKWmDFoSkiLsl6U06Kqbf,https://open.spotify.com/track/7BKWmDFoSkiLsl6U06Kqbf,nostalgic solemn pensive
Nostalgic Sentiment - Cello Version,Nature Dreams,Nostalgic Sentiment,2023-02-03,4gXkD3j35mLyekvYU1lAT1,https://open.spotify.com/track/4gXkD3j35mLyekvYU1lAT1,nostalgic solemn pensive
Melancholic Moment - Strings Version,Slow Rising Hope,Two Trios (Strings Version),2022-01-08,3tApqv72ZIdIItTnXT5woL,https://open.spotify.com/track/3tApqv72ZIdIItTnXT5woL,nostalgic solemn pensive
Melancholy Requiem,Akira Yamaoka,SILENT HILL4 -THE ROOM- (Original Soundtrack),2004-06-17,2DA9BqKsDLxqGjwTfsNrmx,https://open.spotify.com/track/2DA9BqKsDLxqGjwTfsNrmx,nostalgic solemn pensive
Nostalgia,Melosense,Nostalgia,2019-12-11,0Vtwa1eRykSFTGXbDBq7d2,https://open.spotify.com/track/0Vtwa1eRykSFTGXbDBq7d2,nostalgic solemn pensive
Simply Nostalgic,Piano Fruits Music,Simply Nostalgic,2020-04-03,2Gt0hNiLX5UlxcjB6cBVHE,https://open.spotify.com/track/2Gt0hNiLX5UlxcjB6cBVHE,nostalgic solemn pensive
Melancholia II,William Basinski,Melancholia,2003-08-12,243SYVzBHECQf3paZxeHGd,https://open.spotify.com/track/243SYVzBHECQf3paZxeHGd,nostalgic solemn pensive
Nostalgic Goodbye,Harmony Night,Shifting Sands,2022-02-27,0OW3u5QgIe8gEOezK3Z96V,https://open.spotify.com/track/0OW3u5QgIe8gEOezK3Z96V,nostalgic solemn pensive
Melancholy,Jonas Sandberg,Mosaic,2023-06-22,569aPavFjL3WvPwZepX67d,https://open.spotify.com/track/569aPavFjL3WvPwZepX67d,nostalgic solemn pensive
Melancholy Snowfall,Michele McLaughlin,Christmas - Plain & Simple II,2010-10-01,4el8KbyBzSPic1tQLdY56n,https://open.spotify.com/track/4el8KbyBzSPic1tQLdY56n,nostalgic solemn pensive
Melancholy Moonlit Piano,Sleepy Penguin,Tranquil Piano Sonata,2023-05-12,1WV0mvxE56sRdaNHRzdwH8,https://open.spotify.com/track/1WV0mvxE56sRdaNHRzdwH8,nostalgic solemn pensive
Nostalgia,Endless Melancholy,A Quiet Recollection,2016-02-12,3SiOf8RkwsPdWnILJ5L7yF,https://open.spotify.com/track/3SiOf8RkwsPdWnILJ5L7yF,nostalgic solemn pensive
Nostalgic sunset,Peace Music,Nostalgic sunset,2024-04-12,1A2NeKmN2W5VOYCpCVl49H,https://open.spotify.com/track/1A2NeKmN2W5VOYCpCVl49H,nostalgic solemn pensive
Nostalgic Sentiment - Harp Version,Nature Dreams,Nostalgic Sentiment (Harp Version),2023-02-05,4K7nJcclMDXaAcmKsXD6lQ,https://open.spotify.com/track/4K7nJcclMDXaAcmKsXD6lQ,nostalgic solemn pensive
Emotional Ambient Sounds for Introspective Moments,Shiroishi,Quiet Piano Music for Introspective Evenings,2025-09-12,6Uib5vh2V6cDbl0c2YFgfz,https://open.spotify.com/track/6Uib5vh2V6cDbl0c2YFgfz,nostalgic solemn pensive
Memories - Ambient Piano Instrumental,Cozy Koala,Memories - Ambient Piano Instrumental,2022-09-30,7wI5U0nKjIk5FIeyf2Q3Y2,https://open.spotify.com/track/7wI5U0nKjIk5FIeyf2Q3Y2,nostalgic solemn pensive
Ambient Emotional Piano,DS Productions,Ambient Emotional Piano,2021-01-02,053kba2hsZW5OuCxSpP3XI,https://open.spotify.com/track/053kba2hsZW5OuCxSpP3XI,nostalgic solemn pensive
Nostalgic Goodbye - Violin Version,Ivory Light,Shifting Sands Reimagined (Violin Version),2022-02-27,67371HHdhVTVBUkFQndiXo,https://open.spotify.com/track/67371HHdhVTVBUkFQndiXo,nostalgic solemn pensive
Ambient Emotional Cinematic,Romansenykmusic,Soft Cinematic Soundtracks,2020-03-19,3iRW391RwTm8QN9jSqjwmQ,https://open.spotify.com/track/3iRW391RwTm8QN9jSqjwmQ,nostalgic solemn pensive
A Nostalgic Prelude,Edin Kaso,Felt Piano Stories,2023-12-29,1r6SKi9QAeTsfZ2QP8CGXZ,https://open.spotify.com/track/1r6SKi9QAeTsfZ2QP8CGXZ,nostalgic solemn pensive
Interwoven Nostalgia,Yu-Peng Chen,Genshin Impact - Realm of Tranquil Eternity (Original Game Soundtrack),2021-09-22,4EJ8u6FBT6o5ga7MFUmn2k,https://open.spotify.com/track/4EJ8u6FBT6o5ga7MFUmn2k,nostalgic solemn pensive
Nostalgia,Mediterranean Nights,Azure,2010-10-01,2uExNxLcVxcJeXjJ8aoXru,https://open.spotify.com/track/2uExNxLcVxcJeXjJ8aoXru,nostalgic solemn pensive
A Nostalgic Mind (Solo Piano Version),Jacob Mühlrad,study music that is actually motivating,2024-09-27,4UuVm3n10VGoltUfao73Sk,https://open.spotify.com/track/4UuVm3n10VGoltUfao73Sk,nostalgic solemn pensive
Melancholy,Sangam,Distance Amongst Us,2017-02-27,5psD8O8glBTB27afIoS5bK,https://open.spotify.com/track/5psD8O8glBTB27afIoS5bK,nostalgic solemn pensive
Nostalgica,Thom Nelson,Nostalgica,2023-02-14,0N0Rxym9LnsVtwAdAVcWrQ,https://open.spotify.com/track/0N0Rxym9LnsVtwAdAVcWrQ,nostalgic solemn pensive
Melancholia VI,William Basinski,Melancholia,2003-08-12,7HfZJvZMAG5TRecSfLwzZN,https://open.spotify.com/track/7HfZJvZMAG5TRecSfLwzZN,nostalgic solemn pensive
Ambient Study Piano – Melancholy Minimal,Dreamshift,The Study of Silence: Piano for Deep Work,2025-10-22,0Qz6SLaSIussYbk7f1A2lj,https://open.spotify.com/track/0Qz6SLaSIussYbk7f1A2lj,nostalgic solemn pensive
Nostalgia,Cristof Walters,Nostalgia,2021-01-05,6jG4atMZzjJsY60lpGcxzc,https://open.spotify.com/track/6jG4atMZzjJsY60lpGcxzc,nostalgic solemn pensive
Melancholia III,William Basinski,Melancholia,2003-08-12,5AniZlYsEWadl7dPhKoL8s,https://open.spotify.com/track/5AniZlYsEWadl7dPhKoL8s,nostalgic solemn pensive
Nighttime Melancholy,Sleep Fruits Music,Best Sleep Album,2024-02-26,4qzP7ZilEsG3gqXcGG3csr,https://open.spotify.com/track/4qzP7ZilEsG3gqXcGG3csr,nostalgic solemn pensive
Nostalgia,Secret Garden,Storyteller,2019-04-26,1euTFn2nCr9ddc57r9PbFh,https://open.spotify.com/track/1euTFn2nCr9ddc57r9PbFh,nostalgic solemn pensive
Nostalgic,Relaxing Instrumental Jazz Ensemble,"Instrumental Music to Love, Smooth Jazz Cool Blues Spanish Guitar for Massage, Dinner Party, Intimate Moments...",2011-04-25,5m86G83uK2wAW2XzyhYjkg,https://open.spotify.com/track/5m86G83uK2wAW2XzyhYjkg,nostalgic solemn pensive
Nostalgic Reflections,Mae Ji-Yoon,Dark Academia Piano,2024-08-21,0zhfyO21EKFynbecq9S9tx,https://open.spotify.com/track/0zhfyO21EKFynbecq9S9tx,nostalgic solemn pensive
Melancholy and Sadness,Celestial Aeon Project,Magic of the Summer Solstice,2025-08-01,1GidAN0HW3oG7HvJoplIt9,https://open.spotify.com/track/1GidAN0HW3oG7HvJoplIt9,nostalgic solemn pensive
Poignant (Emotional Piano Instrumental),Moesync,Melting (Emotional Piano Instrumentals),2024-10-06,0Jx0cXXr3CM9zv8zrFmy7n,https://open.spotify.com/track/0Jx0cXXr3CM9zv8zrFmy7n,nostalgic solemn pensive
Nostalgic Memory,DawRos,Silent Tears,2023-08-01,3oA8Wiu8HzplX3LwFyb26T,https://open.spotify.com/track/3oA8Wiu8HzplX3LwFyb26T,nostalgic solemn pensive
Meditative Melancholy,Strings of Peace,Guitar Meditation I.,2024-04-03,0iGS1zHIVKC6cTmz97A6Jm,https://open.spotify.com/track/0iGS1zHIVKC6cTmz97A6Jm,nostalgic solemn pensive
Melancholy Memories,Nox Arcana,Gothic,2015-10-05,2FU4jbswgTlqu8nLdF1x2F,https://open.spotify.com/track/2FU4jbswgTlqu8nLdF1x2F,nostalgic solemn pensive
Sad Cinematic Ambient,Max-Music,Sad Cinematic Ambient,2021-01-29,5UhMhfwFokBMwwBhlwRDYu,https://open.spotify.com/track/5UhMhfwFokBMwwBhlwRDYu,nostalgic solemn pensive
Melancholy Moods (Rain & Sleep),Eithne Maier,Rain Sleepscapes,2024-04-12,0iO9LUbnoZgSjtTCPzL5im,https://open.spotify.com/track/0iO9LUbnoZgSjtTCPzL5im,nostalgic solemn pensive
Melancholia,Violin Sky,Northern Lights,2022-03-18,2Ru4shB13kJQQQGYmwoTOD,https://open.spotify.com/track/2Ru4shB13kJQQQGYmwoTOD,nostalgic solemn pensive
a Nostalgic Winter,Jordy Chandra,a Nostalgic Winter,2022-11-25,4gfQDNOnwE5Mqkb8hEwF5Z,https://open.spotify.com/track/4gfQDNOnwE5Mqkb8hEwF5Z,nostalgic solemn pensive
Nostalgic Night - Violin Version,Willow Valley,Nostalgic Night,2021-11-17,0JnKDarOekkB3YGcldoOc5,https://open.spotify.com/track/0JnKDarOekkB3YGcldoOc5,nostalgic solemn pensive
Nostalgic Drawings,Hanna Lindgren,Nostalgic Drawings,2022-05-27,20ZTsszQOyWehsuwT3jFS1,https://open.spotify.com/track/20ZTsszQOyWehsuwT3jFS1,nostalgic solemn pensive
Nostalgie,The Strings Of Paris,Golden Piano Melodies,1988-02-15,75gGVzru3BCETmUB5sFVxt,https://open.spotify.com/track/75gGVzru3BCETmUB5sFVxt,nostalgic solemn pensive
Melancholic Lullaby,Mike McKee,From Within,2024-07-15,149GPopdEJWoMTJOv4XFLY,https://open.spotify.com/track/149GPopdEJWoMTJOv4XFLY,nostalgic solemn pensive
Melancholia IX,William Basinski,Melancholia,2003-08-12,6SyRUC1tL5Cmr6SusQ3z6j,https://open.spotify.com/track/6SyRUC1tL5Cmr6SusQ3z6j,nostalgic solemn pensive
Melancholy Rain on the Courtyard,Rain Sounds,Nostalgic Rain Sound,2025-11-01,2byziPJw0CtxH1uokDhWa6,https://open.spotify.com/track/2byziPJw0CtxH1uokDhWa6,nostalgic solemn pensive
Melancholy,Chris Pandolfi,Looking Glass,2009-01-01,5rE8y3XD8mv6PSFzP7j2TK,https://open.spotify.com/track/5rE8y3XD8mv6PSFzP7j2TK,nostalgic solemn pensive
Nostalgia,Kassidy Adams,Nostalgia,2023-09-01,0OQ5RhC1ViIaHfAmhQAv6i,https://open.spotify.com/track/0OQ5RhC1ViIaHfAmhQAv6i,nostalgic solemn pensive
Nostalgia,Hania Rani,Ghosts,2023-10-06,6KqYsGeLABmTF8STsYk7OZ,https://open.spotify.com/track/6KqYsGeLABmTF8STsYk7OZ,nostalgic solemn pensive
Melancholie (Emotional Piano Instrumentals),Moesync,Silent Reflections (Emotional Piano Instrumentals),2024-12-23,1DMcKA8343sZ4iogdrGXSK,https://open.spotify.com/track/1DMcKA8343sZ4iogdrGXSK,nostalgic solemn pensive
Nostalgia,Jonathan Roth,Meditations,2005-01-01,5JS0VROkVMzRhzkkxNvuUP,https://open.spotify.com/track/5JS0VROkVMzRhzkkxNvuUP,nostalgic solemn pensive
Silent Nostalgia,Erik Wøllo,"Blue Sky, Red Guitars",2004-10-05,6Ovr3lssvjOrR4DLDZNrD1,https://open.spotify.com/track/6Ovr3lssvjOrR4DLDZNrD1,nostalgic solemn pensive
Soft Ambient Music for Thinking Alone,Shiroishi,Quiet Piano Music for Introspective Evenings,2025-09-12,5CTgj4xLBWMtg2MrBQFfQZ,https://open.spotify.com/track/5CTgj4xLBWMtg2MrBQFfQZ,nostalgic solemn pensive
Nostalgic,Oleg Kirilkov,Piano & Cello,2019-10-22,6jL2Q4WGOksKZjnZ55WwRl,https://open.spotify.com/track/6jL2Q4WGOksKZjnZ55WwRl,nostalgic solemn pensive
Nostalgic Serenade,Crescent City Swingers,Lost In Time,2023-07-07,3ZT5UenhLy6jw689mL31Hg,https://open.spotify.com/track/3ZT5UenhLy6jw689mL31Hg,nostalgic solemn pensive
Nocturnal Reflections in Moonlight,Ambientalism,Blissful Serenades,2021-07-07,0UZHuO5tKxx3CHM42JMG8S,https://open.spotify.com/track/0UZHuO5tKxx3CHM42JMG8S,nostalgic solemn pensive
Nostalgia – solo Baritone guitar,Cinematic Adventures,Nostalgia – solo Baritone guitar,2022-11-03,2b5DYfJdTS7ufGZWufn7OG,https://open.spotify.com/track/2b5DYfJdTS7ufGZWufn7OG,nostalgic solemn pensive
Nostalgic Thoughts,Eternal Spring,Once Upon A Time,2022-04-19,1oOZ8I1JZ5vo3PAXyxpL7c,https://open.spotify.com/track/1oOZ8I1JZ5vo3PAXyxpL7c,nostalgic solemn pensive
Nostalgy,Steve Hall,The Gift Of Love,1995,6SIHIc4gTXvZr6KdiPtp61,https://open.spotify.com/track/6SIHIc4gTXvZr6KdiPtp61,nostalgic solemn pensive
Nostalgia - Choir,Violin Sky,Sound of Silence,2024-12-06,40bcfwCYF2BQGc8sax3Wa5,https://open.spotify.com/track/40bcfwCYF2BQGc8sax3Wa5,nostalgic solemn pensive
Melancholic Flashback,Justus Rümenapp,Melancholic Flashback,2020-05-01,5yHMZmdMXxYcd3lKPkTC5M,https://open.spotify.com/track/5yHMZmdMXxYcd3lKPkTC5M,nostalgic solemn pensive
Nostalgy,Martin Bloch,Anima,2018-02-25,29odFcuubTMM0bchGwUhSo,https://open.spotify.com/track/29odFcuubTMM0bchGwUhSo,nostalgic solemn pensive
Melancholia XI,William Basinski,Melancholia,2003-08-12,6o34Ba8ezCCZZ7rlXG1ZYQ,https://open.spotify.com/track/6o34Ba8ezCCZZ7rlXG1ZYQ,nostalgic solemn pensive
Nostalgic,Sean Watkins,Let It Fall,2001-01-01,1mU85Tw2CLQDGJ2Nkt2Pd0,https://open.spotify.com/track/1mU85Tw2CLQDGJ2Nkt2Pd0,nostalgic solemn pensive
Melancholia VII,William Basinski,Melancholia,2003-08-12,3MI2yqtuKVFPdNJOWQFoNr,https://open.spotify.com/track/3MI2yqtuKVFPdNJOWQFoNr,nostalgic solemn pensive
Melancholia XIII,William Basinski,Melancholia,2003-08-12,1JcZhWJdDk6Gb07luBszCa,https://open.spotify.com/track/1JcZhWJdDk6Gb07luBszCa,nostalgic solemn pensive
Cinematic Piano Ambient,AShamaluevMusic,Cinematic Inspirational Music,2017-01-01,4BVhvnWYe8H6RtcMYI2ZnL,https://open.spotify.com/track/4BVhvnWYe8H6RtcMYI2ZnL,nostalgic solemn pensive
Melancholic Serenade - Rainy Day Version,Elliott Chambers,Melancholic Serenade (Rainy Day Version),2024-07-12,6gjkK3e1NNRCuQOXVWOFxl,https://open.spotify.com/track/6gjkK3e1NNRCuQOXVWOFxl,nostalgic solemn pensive
Nostalgia,Moonlight Echoes,Emotions,2020-10-05,3otbJ56Ghh12pfbvE3HsCg,https://open.spotify.com/track/3otbJ56Ghh12pfbvE3HsCg,nostalgic solemn pensive
Relaxing Ambient Nostalgia - Chillwave 2025,Synthwave Nation,California Sunset,2025-03-05,53dJz7VdeYbqxa1y4E7vsK,https://open.spotify.com/track/53dJz7VdeYbqxa1y4E7vsK,nostalgic solemn pensive
Nostalgia,Instrumental Meditation Music,Floating Meditation and Sleep Music,2022-09-06,03BaUq1LHyFgsTVfkcRCXD,https://open.spotify.com/track/03BaUq1LHyFgsTVfkcRCXD,nostalgic solemn pensive
Nostalgic Night,Hazy,Nirvana,2020-05-20,2gXQapvTyO12fh6c2U0oIQ,https://open.spotify.com/track/2gXQapvTyO12fh6c2U0oIQ,nostalgic solemn pensive
Nostalgic Piano,Vernon,Have Deep Affection,2018-04-21,66eUTTQQYSJlJaYblH4GsY,https://open.spotify.com/track/66eUTTQQYSJlJaYblH4GsY,nostalgic solemn pensive
Sad Sadness (Instrumental Piano & Orchestral Strings) - Emotional Sentimental Melancholy Music,Sad Piano Music Instrumental Collective Australia,Sad Sadness (Instrumental Piano & Orchestral Strings) - Emotional Sentimental Melancholy Music,2016-11-15,2A1pVQTRhYP9EOCC2qcefu,https://open.spotify.com/track/2A1pVQTRhYP9EOCC2qcefu,nostalgic solemn pensive
Melancholy and the Depth of Sorrow,Lingering Emotions Still Live,Alone,2023-04-14,4ZIFoQ36AVpxxvOsIEYNIb,https://open.spotify.com/track/4ZIFoQ36AVpxxvOsIEYNIb,nostalgic solemn pensive
Ambient Piano Sleep Music,Deep Sleep Relaxation,Deep Sleep Music: Nature Sounds of Ocean Waves and Instrumental Piano Music For Sleeping and Relaxation,2019-04-05,0wAiiArBmwHIVv07ylJYTo,https://open.spotify.com/track/0wAiiArBmwHIVv07ylJYTo,nostalgic solemn pensive
Nostalgic Memories,Lewisia,Cafe Restaurant Hotel Lounge Luxurious Music to Listen to on a Rainy Day [Cloudy And Rain],2022-01-17,1Pi3KRqdBKi5ET5G7DPb4P,https://open.spotify.com/track/1Pi3KRqdBKi5ET5G7DPb4P,nostalgic solemn pensive
Melancholic Reflection,Magnus Ludvigsson,Melancholic Reflection,2023-03-17,6pdHYfFTRDHf8VBBnUT9rB,https://open.spotify.com/track/6pdHYfFTRDHf8VBBnUT9rB,nostalgic solemn pensive
a Nostalgic Winter (Short Version),Jordy Chandra,a Nostalgic Winter (Chamber Version),2022-12-21,1g9NSUvCfBh44iIrPybUn1,https://open.spotify.com/track/1g9NSUvCfBh44iIrPybUn1,nostalgic solemn pensive
Nostalgic Night - Harp Version,Willow Valley,Nostalgic Night,2021-11-17,7H8YhHwGjsey45NAcKlPeK,https://open.spotify.com/track/7H8YhHwGjsey45NAcKlPeK,nostalgic solemn pensive
Ambient Music For Deep Sleep,Sleeping Music Experience,Sleeping Music: Soft Relaxing Piano Music For Deep Sleep Music and Relaxation Music,2018-08-28,1VDnTYqbSB0SmEOLrAQEjt,https://open.spotify.com/track/1VDnTYqbSB0SmEOLrAQEjt,nostalgic solemn pensive
Melancholia VIII,William Basinski,Melancholia,2003-08-12,1bhXIB6hXajAUOz2UniqGw,https://open.spotify.com/track/1bhXIB6hXajAUOz2UniqGw,nostalgic solemn pensive
Nostalgia,Francisco José Villaescusa,Nostalgia,2016-03-30,7ptfXFytzgJG8QK4PMCssI,https://open.spotify.com/track/7ptfXFytzgJG8QK4PMCssI,nostalgic solemn pensive
Nostalgia,Billy Belmondo,Nocturnal Breeze,2020-11-12,6dGoDOe85caqcrYydVHe8m,https://open.spotify.com/track/6dGoDOe85caqcrYydVHe8m,nostalgic solemn pensive
Pastor Solitario,Grupo Nostalgia,La Flauta del Mundo,2017-11-22,4hGUwsVtcSWJzXvtYpa8V9,https://open.spotify.com/track/4hGUwsVtcSWJzXvtYpa8V9,nostalgic solemn pensive
Light,Endless Melancholy,Music for Quiet Mornings,2012-03-12,1uBIsWIOaWWOox8blr0YO5,https://open.spotify.com/track/1uBIsWIOaWWOox8blr0YO5,nostalgic solemn pensive
Nostalgia,Strings of Kin,Gentle Guitar Lullabies for Sleep: Soothing Melodies to Calm Your Children for Bedtime,2021-06-11,74jkJjWgwiKnPjMuheAvZR,https://open.spotify.com/track/74jkJjWgwiKnPjMuheAvZR,nostalgic solemn pensive
Melancholy,Martin Czerny,Sad Cello & Piano VII,2020-11-13,7uVtSNLVRj8vuB29GMaEUR,https://open.spotify.com/track/7uVtSNLVRj8vuB29GMaEUR,nostalgic solemn pensive
Nostalgy,Patrick Péronne,The Moonlight Piano - 50 Quiet Pieces for Piano,2014-05-26,4PoJ8lWCZU2bjjWmdCTsdj,https://open.spotify.com/track/4PoJ8lWCZU2bjjWmdCTsdj,nostalgic solemn pensive
Lullaby for Soleda (Instrumental Piano Solo) - Sad Music Melancholic Love Song,Sad Piano Music Instrumental Collective Australia,Sad Piano Music 1: Instrumental Love Songs Sentimental Emotional Dramatic Melancholic,2016-12-19,1aaQtWQ2fCqBS8QRsSIA9C,https://open.spotify.com/track/1aaQtWQ2fCqBS8QRsSIA9C,nostalgic solemn pensive
Nostalgic Melancholy Emotional Story,Romansenykmusic,Unreleased,2022-10-26,2YhSJrD62q4rplrN7KDffz,https://open.spotify.com/track/2YhSJrD62q4rplrN7KDffz,nostalgic solemn pensive
Nostalgic,Michael Marc & The Gypsy Flamenco Masters,Moody Road,2010,04TBixgkeNn5fVLhHEE68A,https://open.spotify.com/track/04TBixgkeNn5fVLhHEE68A,nostalgic solemn pensive
Melancolie,Along term,Baby,2022-05-12,3HDaM2Bt2sYOBIeiw6aUpd,https://open.spotify.com/track/3HDaM2Bt2sYOBIeiw6aUpd,nostalgic solemn pensive
