track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Rainy Ambience: Evil Lurks,Scary Halloween Night Ambient,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,2021-10-25,7q0I71nvMW93gmnB68oBLU,https://open.spotify.com/track/7q0I71nvMW93gmnB68oBLU,eerie ominous haunting
Scary Ambient Music,Elijah Ages,Horror Peaceful Halloween Party,2017-10-04,28HTOOtto8niTE5i5Pe6wo,https://open.spotify.com/track/28HTOOtto8niTE5i5Pe6wo,eerie ominous haunting
Ambient Creatures,Silent Orchestra,"Nosferatu, A Symphony of Horror",2009-10-15,7lTlrKHL4bbL7F4iy139ai,https://open.spotify.com/track/7lTlrKHL4bbL7F4iy139ai,eerie ominous haunting
Creepy Ambient: Raven’s Hollow,Scary Halloween Night Ambient,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,2021-10-25,0pyArTypZCbNvXmZmN2PwE,https://open.spotify.com/track/0pyArTypZCbNvXmZmN2PwE,eerie ominous haunting
Scary Ambient Music,Jane Maitri,Scary Halloween Music,2017-10-06,0bA4Yw9F1qVTGBsTxsaME0,https://open.spotify.com/track/0bA4Yw9F1qVTGBsTxsaME0,eerie ominous haunting
Dark Ambient,Jonathan Mantras,Instrumental Songs for Sleep (Relaxation Music),2018-02-23,1BDXBtzvBze6r8nZn5uhN2,https://open.spotify.com/track/1BDXBtzvBze6r8nZn5uhN2,eerie ominous haunting
Haunted Crypt,Ambient Realms,"Massive Ambient Music, Vol.1",2015-03-16,6nlXozVgHrDOr25F4OwYJX,https://open.spotify.com/track/6nlXozVgHrDOr25F4OwYJX,eerie ominous haunting
Scary Sounds: Unearthly Howls,Scary Halloween Night Ambient,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,2021-10-25,7b52hn2KNIxpRfyCK67N3o,https://open.spotify.com/track/7b52hn2KNIxpRfyCK67N3o,eerie ominous haunting
Dark of Night,Ghosts Behind,Halloween Ambience,2021-10-18,3VZOAFqxNdfKtBDTX19vM0,https://open.spotify.com/track/3VZOAFqxNdfKtBDTX19vM0,eerie ominous haunting
Gloomy Reminiscences,Tavlı,Gloomy Reminiscences,2022-08-12,7gTxz8n5gn4RU9e5iDZOoN,https://open.spotify.com/track/7gTxz8n5gn4RU9e5iDZOoN,eerie ominous haunting
