track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
A Futuristic Lounge,Ambience Mastery,Cyberpunk Epic City Ambience,2022-11-26,67oftYQbCeOJnOm3k5ZLK2,https://open.spotify.com/track/67oftYQbCeOJnOm3k5ZLK2,ethereal dystopian futuristic
Futuristic Apartment Vibes,Ambience Mastery,Cyberpunk City Night Ambience,2022-12-09,1DleGrcjz2Kfk6TLcv9cd8,https://open.spotify.com/track/1DleGrcjz2Kfk6TLcv9cd8,ethereal dystopian futuristic
Futuristic City Rainy Day Ambience,Sounds of Planet Earth,Night City Living Sounds,2022-10-25,71HREGnDmndXzx82V42cS4,https://open.spotify.com/track/71HREGnDmndXzx82V42cS4,ethereal dystopian futuristic
Nostalgic Synthwave (Sleep Music),Silent Rhythm,Space Ambient (Sleep Music),2022-08-15,73aA37o4yNP390HLuxnpGh,https://open.spotify.com/track/73aA37o4yNP390HLuxnpGh,ethereal dystopian futuristic
Quantum Key,Celestial Aeon Project,Dystopian Futures,2024-12-27,22AoqwJQmjJbdm3vUV03D2,https://open.spotify.com/track/22AoqwJQmjJbdm3vUV03D2,ethereal dystopian futuristic
Dystopian Future,Shredder 1984,Dystopian Future,2017-12-10,4sySfS4tpe0gqdPvoFs99U,https://open.spotify.com/track/4sySfS4tpe0gqdPvoFs99U,ethereal dystopian futuristic
dystopia,thenian,dystopia,2022-06-03,7q264R3DxGt11dFJwt7jxT,https://open.spotify.com/track/7q264R3DxGt11dFJwt7jxT,ethereal dystopian futuristic
Dystopia,Neutrin05,Dystopia,2019-07-03,6N1lZfdZa9O1jtaQWJOix1,https://open.spotify.com/track/6N1lZfdZa9O1jtaQWJOix1,ethereal dystopian futuristic
Future Cries of No Tomorrow,Ruptured World,Exoplanetary,2018-08-21,4AXknMGK56kjWPYtgn3lGy,https://open.spotify.com/track/4AXknMGK56kjWPYtgn3lGy,ethereal dystopian futuristic
Dreams Without a Future,Sabled Sun,2147,2015-02-28,45UE4Abe7BYuGYFwKPWZ5p,https://open.spotify.com/track/45UE4Abe7BYuGYFwKPWZ5p,ethereal dystopian futuristic
Abandon All,zYnthetic,SOUNDTRACK FOR THE APOCALYPSE,2014-05-23,6XY9O5pejwQzGAxxhPV6om,https://open.spotify.com/track/6XY9O5pejwQzGAxxhPV6om,ethereal dystopian futuristic
Neon Light Twilight,Celestial Aeon Project,Dystopian Futures,2024-12-27,6zVbxfq04YKGMvyTkTTFo2,https://open.spotify.com/track/6zVbxfq04YKGMvyTkTTFo2,ethereal dystopian futuristic
Dystopia (Instrumental),Stuart Grand,Dystopia (Instrumental),2022-08-12,6RbJwNyyph4xzPbAQapm1W,https://open.spotify.com/track/6RbJwNyyph4xzPbAQapm1W,ethereal dystopian futuristic
Dystopian Mall,Incorporeal Visions Deluxe,Network Entities,2014-05-05,6gkowH8PXuG2y4uJB0hl1Q,https://open.spotify.com/track/6gkowH8PXuG2y4uJB0hl1Q,ethereal dystopian futuristic
Dystopia (Original Soundtrack),Hi-Finesse,Dystopia (Original Soundtrack),2017-01-12,7qjUe6dPi2dVhkPH5eGIgR,https://open.spotify.com/track/7qjUe6dPi2dVhkPH5eGIgR,ethereal dystopian futuristic
Grounded,Jameson Nathan Jones,Signals,2020-03-13,7wmkVwtNrqqHRG4CFpCPvb,https://open.spotify.com/track/7wmkVwtNrqqHRG4CFpCPvb,ethereal dystopian futuristic
Instrumental,Dystopia,The Aftermath,1999-04-19,6CDBQBIoDugy8qLafENTSa,https://open.spotify.com/track/6CDBQBIoDugy8qLafENTSa,ethereal dystopian futuristic
