track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Scary Ambient Music,Elijah Ages,Horror Peaceful Halloween Party,2017-10-04,28HTOOtto8niTE5i5Pe6wo,https://open.spotify.com/track/28HTOOtto8niTE5i5Pe6wo,suspenseful ominous eerie
Rainy Ambience: Evil Lurks,Scary Halloween Night Ambient,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,2021-10-25,7q0I71nvMW93gmnB68oBLU,https://open.spotify.com/track/7q0I71nvMW93gmnB68oBLU,suspenseful ominous eerie
Ambient Creatures,Silent Orchestra,"Nosferatu, A Symphony of Horror",2009-10-15,7lTlrKHL4bbL7F4iy139ai,https://open.spotify.com/track/7lTlrKHL4bbL7F4iy139ai,suspenseful ominous eerie
Dark Ambient,Jonathan Mantras,Instrumental Songs for Sleep (Relaxation Music),2018-02-23,1BDXBtzvBze6r8nZn5uhN2,https://open.spotify.com/track/1BDXBtzvBze6r8nZn5uhN2,suspenseful ominous eerie
Creepy Ambient: Raven’s Hollow,Scary Halloween Night Ambient,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,2021-10-25,0pyArTypZCbNvXmZmN2PwE,https://open.spotify.com/track/0pyArTypZCbNvXmZmN2PwE,suspenseful ominous eerie
Scary Ambient Music,Jane Maitri,Scary Halloween Music,2017-10-06,0bA4Yw9F1qVTGBsTxsaME0,https://open.spotify.com/track/0bA4Yw9F1qVTGBsTxsaME0,suspenseful ominous eerie
Darkness Falls: Horror Ambient,Horror Music Collection,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,2021-10-25,59EcWQqZEFyAK68Mz4AQZF,https://open.spotify.com/track/59EcWQqZEFyAK68Mz4AQZF,suspenseful ominous eerie
"Ambience, Scary Sounds (Voices)",The Darker Star,"Dark Ambient: Dark Ambient Music, Atmosphere Music, Solitude and Melancholy",2012-09-03,3ORWtiRxiPB8C9FRvZpQiw,https://open.spotify.com/track/3ORWtiRxiPB8C9FRvZpQiw,suspenseful ominous eerie
Mystery Background,Petar Milinkovic,"Mystery Music, Set 13",2021-11-09,5RqBOeV9enFqfLwXUV0nIZ,https://open.spotify.com/track/5RqBOeV9enFqfLwXUV0nIZ,suspenseful ominous eerie
Ambience: Spooky Forest,Sound Collective,98 Scary Sounds,2011-08-23,48zBAS5eTHhbpbzhsysfrr,https://open.spotify.com/track/48zBAS5eTHhbpbzhsysfrr,suspenseful ominous eerie
Dark Forest Motion,Ambient Realms,"Massive Ambient Music, Vol.1",2015-03-16,3xSc6QM5pnd34AfZTKJnMx,https://open.spotify.com/track/3xSc6QM5pnd34AfZTKJnMx,suspenseful ominous eerie
Gloomy Reminiscences,Tavlı,Gloomy Reminiscences,2022-08-12,7gTxz8n5gn4RU9e5iDZOoN,https://open.spotify.com/track/7gTxz8n5gn4RU9e5iDZOoN,suspenseful ominous eerie
Anxious,Edward Eclipse,"Evil Background Songs - Spooky Scary Music, Dark Ambient Horror Story Background",2017-10-13,6HxFeZiCm8jwQg1r5o69gb,https://open.spotify.com/track/6HxFeZiCm8jwQg1r5o69gb,suspenseful ominous eerie
Ghost Forest,Ambient Realms,"Massive Ambient Music, Vol.3",2016-01-14,1KHME5RoijB0wgre1LJfpI,https://open.spotify.com/track/1KHME5RoijB0wgre1LJfpI,suspenseful ominous eerie
Haunted Crypt,Ambient Realms,"Massive Ambient Music, Vol.1",2015-03-16,6nlXozVgHrDOr25F4OwYJX,https://open.spotify.com/track/6nlXozVgHrDOr25F4OwYJX,suspenseful ominous eerie
Pulsating Ambience,Akira Yamaoka,SILENT HILL4 -THE ROOM- (Original Soundtrack),2004-06-17,3nMwS2w8qZ9ooB9HNNqWOZ,https://open.spotify.com/track/3nMwS2w8qZ9ooB9HNNqWOZ,suspenseful ominous eerie
Scary Sounds: Unearthly Howls,Scary Halloween Night Ambient,Haunted Forest Ambience: Creepy Halloween Music full of Scary Sound Effects and Spooky Noises,2021-10-25,7b52hn2KNIxpRfyCK67N3o,https://open.spotify.com/track/7b52hn2KNIxpRfyCK67N3o,suspenseful ominous eerie
Night Mist,Ambient Realms,"Massive Ambient Music, Vol. 2",2015-02-23,34VCGiNAXRZP4LCX1R5t0u,https://open.spotify.com/track/34VCGiNAXRZP4LCX1R5t0u,suspenseful ominous eerie
Evil Music,Sexy Erotic Halloween,"Evil Music - Mysterious, Macabre Ambient",2019-06-11,3YuQeMMdHaZeoJhJ2strRa,https://open.spotify.com/track/3YuQeMMdHaZeoJhJ2strRa,suspenseful ominous eerie
