track_name,artist_name,album_name,release_date,track_id,spotify_url,mood_keywords
Bittersweet Symphony,Modern Meditations,Modern Meditations: The Modern Classics,2009-11-17,5iIaXfAUSTBetm0iRKNk9l,https://open.spotify.com/track/5iIaXfAUSTBetm0iRKNk9l,introspective bittersweet yearning
Bittersweet Departure,carrottier,Departure,2021-12-12,0beZKtQW0hIItsd1uBqXNK,https://open.spotify.com/track/0beZKtQW0hIItsd1uBqXNK,introspective bittersweet yearning
Bittersweet Night Arr. For Cello And Felt Piano,Limelight Glow,Evening Cello Preludes,2023-02-02,621loBrjZetVrbBTgD1Fq5,https://open.spotify.com/track/621loBrjZetVrbBTgD1Fq5,introspective bittersweet yearning
Bittersweet Night,Beyond Stillness,Bittersweet Night,2023-01-29,4eZPnO73GWdY8NJuJvmOTG,https://open.spotify.com/track/4eZPnO73GWdY8NJuJvmOTG,introspective bittersweet yearning
Bittersweet Symphony (Instrumental),The Aranbee Pop Symphony Orchestra,Bittersweet Symphony (Instrumental),1997-01-01,4fTuB40HoVwYaKWQRyP9RQ,https://open.spotify.com/track/4fTuB40HoVwYaKWQRyP9RQ,introspective bittersweet yearning
a bittersweet afternoon,Kjell Sønksen,a bittersweet afternoon,2024-09-25,0TasGN3BtfVu94VXKmGmU0,https://open.spotify.com/track/0TasGN3BtfVu94VXKmGmU0,introspective bittersweet yearning
Bittersweet Moments,skyswimming,Bittersweet Moments,2023-01-13,6W8RzJJWPExPADFu65cGx4,https://open.spotify.com/track/6W8RzJJWPExPADFu65cGx4,introspective bittersweet yearning
Bittersweet Feelings,menolamp,Bittersweet Feelings,2019-05-20,5J4rNnPyYpeQpnGU423CkO,https://open.spotify.com/track/5J4rNnPyYpeQpnGU423CkO,introspective bittersweet yearning
Bittersweet Night Arr. For Violin And Felt Piano,Harmony Night,Evening Violin Preludes,2023-02-03,5E5wrRPhQG3DP1E7s2VDZi,https://open.spotify.com/track/5E5wrRPhQG3DP1E7s2VDZi,introspective bittersweet yearning
Bittersweetness,Limelight Glow,Presence,2020-06-25,1AwIr8PQHe2NTTZCuPZKAB,https://open.spotify.com/track/1AwIr8PQHe2NTTZCuPZKAB,introspective bittersweet yearning
Bittersweet Night - Violin Version,Beyond Stillness,Bittersweet Night,2023-01-29,0ax43QfgH1l3GyGH8kZ0j0,https://open.spotify.com/track/0ax43QfgH1l3GyGH8kZ0j0,introspective bittersweet yearning
Bittersweet,Jack Haigh,Bittersweet,2024-11-22,5H8vWHr2WXUPBJPvzzdoGI,https://open.spotify.com/track/5H8vWHr2WXUPBJPvzzdoGI,introspective bittersweet yearning
bittersweet,insomnic sounds,hues,2023-12-31,6fmI7QG9th5YmxywQG0JSA,https://open.spotify.com/track/6fmI7QG9th5YmxywQG0JSA,introspective bittersweet yearning
Ambient Introspection Leading to Inner Peace,Ricky Trye,"Ambient Piano Meditations: Calm Music for Introspection, Rest and Relaxation",2021-01-21,1atX1iRvRhevSiuUUDnze2,https://open.spotify.com/track/1atX1iRvRhevSiuUUDnze2,introspective bittersweet yearning
Introspection - Edit,Laraaji,Introspection (Edit),2017-07-19,4SqfCU4jNDOqP8qKcSpMU9,https://open.spotify.com/track/4SqfCU4jNDOqP8qKcSpMU9,introspective bittersweet yearning
Bittersweet Faith,Bitter:Sweet,The Mating Game,2006-04-04,3mjQWntZaTIysjKdQZWlgG,https://open.spotify.com/track/3mjQWntZaTIysjKdQZWlgG,introspective bittersweet yearning
December Nostalgic,Rasmus H Thomsen,December Nostalgic,2023-11-03,3aOhimAl0HU8yQPWp094PS,https://open.spotify.com/track/3aOhimAl0HU8yQPWp094PS,introspective bittersweet yearning
Introspection,Ron Well,Introspection,2023-01-19,2cZJIUh0N1GkzZr3YjL5zN,https://open.spotify.com/track/2cZJIUh0N1GkzZr3YjL5zN,introspective bittersweet yearning
Intro,Mk.gee,A Museum Of Contradiction,2020-05-22,6J1JidsS8EP1JLSKueyVCl,https://open.spotify.com/track/6J1JidsS8EP1JLSKueyVCl,introspective bittersweet yearning
Intuition,Restaurant Lounge Background Music,Cozy Jazz Cafe - Relaxing Soft Jazz Music,2023-02-11,4zpMbwO16Pmt7uCVaZKZti,https://open.spotify.com/track/4zpMbwO16Pmt7uCVaZKZti,introspective bittersweet yearning
Bittersweet Reverie,Bahrambient,Delicate Harmonies,2024-08-05,4l9MNZfiy3e2GQlRgiGrFf,https://open.spotify.com/track/4l9MNZfiy3e2GQlRgiGrFf,introspective bittersweet yearning
Bittersweet - Instrumental,Within The Ruins,Trilogy (Instrumental versions of Elite - Phenomena - Halfway Human),2018-11-16,3o0FowidvgwdYX0rR1FKlr,https://open.spotify.com/track/3o0FowidvgwdYX0rR1FKlr,introspective bittersweet yearning
Bittersweet Memories,Piano Dreamers,Feels like Fall,2015-09-25,0VQlcULxjWX0PPUa2r6Hos,https://open.spotify.com/track/0VQlcULxjWX0PPUa2r6Hos,introspective bittersweet yearning
Bittersweet Melody,Beyond Stillness,Dreaming Again,2022-04-20,58g3uTCnf219cL1x3hCp0b,https://open.spotify.com/track/58g3uTCnf219cL1x3hCp0b,introspective bittersweet yearning
Bitter-Sweet,Annie Berenson,Bitter-Sweet,2023-03-24,6wod1iwOSi0SVaeJXGeH15,https://open.spotify.com/track/6wod1iwOSi0SVaeJXGeH15,introspective bittersweet yearning
"Ambient Slumber Serenade, Pt. 25",Sleep Fruits Music,"Sleep Fruits Session, Vol. 7",2023-09-09,5IJ9C153GGfkFhhQMHeLN6,https://open.spotify.com/track/5IJ9C153GGfkFhhQMHeLN6,introspective bittersweet yearning
Bittersuite - Instrumental,Alhanii,HIT ME HARD AND SOFT (INSTRUMENTAL),2024-07-05,32BKXTDSoSKk238O6ICpKw,https://open.spotify.com/track/32BKXTDSoSKk238O6ICpKw,introspective bittersweet yearning
Bitter Sweet Symphony - chilled lofi instrumental,The Remix Station,Bitter Sweet Symphony - chilled lofi instrumental,2023-02-14,5t1fp6quDLR2adlfk5bExv,https://open.spotify.com/track/5t1fp6quDLR2adlfk5bExv,introspective bittersweet yearning
