track_name,artist_name,album_name,duration_minutes,spotify_url
Bram Stoker's Dracula (Main Theme),Orlando Pops Orchestra,Bella's Lullaby,3:11,https://open.spotify.com/track/2EuodcjVH8IKclFLcamXav
Bram Stoker's Dracula - Vampire Hunters,L'Orchestra Cinematique,Make Mine a Halloween Movie,3:07,https://open.spotify.com/track/19Di1L06WQaSLgnloWTeNw
Bram Stoker's Dracula: Vampire Hunters,Wojciech Kilar,Kilar: Bram Stoker's Dracula / Death and the Maiden,3:05,https://open.spotify.com/track/2pl6qknnETpBFNR9xUa4AE
Theme From Bram Stoker's Dracula,Soundtrack & Theme Orchestra,Horror: The Themes,3:11,https://open.spotify.com/track/7rZLcTQgN51OMXIaHOM9S9
Bram Stoker's Dracula,The London Theatre Orchestra,Themes Of Horror 2 Halloween,3:15,https://open.spotify.com/track/76hlQTgjfdzHt6YsoUbiST
BRAM STOKER'S DRACULA: THE BEGINNING,101 Strings Orchestra,HORROR MOVIE BEST SELECTION - FRIDAY THE 13TH -,3:13,https://open.spotify.com/track/6U03BeX90w77cgJus4mTH2
Bram Stoker's Dracula: The Party,Wojciech Kilar,Kilar: Bram Stoker's Dracula / Death and the Maiden,2:26,https://open.spotify.com/track/6rU4ZnkDvp18gldapLpATV
Bram Stoker's Dracula: The Brides,Wojciech Kilar,Kilar: Bram Stoker's Dracula / Death and the Maiden,4:25,https://open.spotify.com/track/5xpC7tqgN3mElh9qr4aWtp
Bram Stoker's Dracula: Mina / Dracula,Wojciech Kilar,Kilar: Bram Stoker's Dracula / Death and the Maiden,4:45,https://open.spotify.com/track/2jWj97bDxAva0r8UlZsOgt
The Hunt Builds,Wojciech Kilar,Bram Stoker's Dracula: Original Motion Picture Soundtrack,3:25,https://open.spotify.com/track/5xlBe5QCXLmZdpsjEiMCha
Dracula- The Beginning,Wojciech Kilar,Bram Stoker's Dracula: Original Motion Picture Soundtrack,6:40,https://open.spotify.com/track/00De7REGurYkmfrKAh6CU1
The Hunters Prelude,Wojciech Kilar,Bram Stoker's Dracula: Original Motion Picture Soundtrack,1:29,https://open.spotify.com/track/4tKaL0ztyh70vmCumixj7N
Vampire Hunters,Wojciech Kilar,Bram Stoker's Dracula: Original Motion Picture Soundtrack,3:05,https://open.spotify.com/track/4yaMIPhBkF1w6o9nnHiz0W
