track_name,artist_name,album_name,duration_minutes,spotify_url
The Hunger Games,James Newton Howard,The Hunger Games: Original Motion Picture Score,1:10,https://open.spotify.com/track/5c1dQbR220sPGEndTw9ALW
The Hanging Tree - Instrumental,Taylor Davis,The Hanging Tree (Instrumental),2:30,https://open.spotify.com/track/4mZznkLXSl6hsE5uZFyImt
Chips,Talib Kweli,Radio Silence,3:27,https://open.spotify.com/track/2k7UjvqE8v9T8V067DZVC1
Hunger Games,Parris Chariz,2045,2:55,https://open.spotify.com/track/0MtcYPjlP7kkerLsQw9YXA
the hanging tree (From 'The Hunger Games') - piano instrumental,Chilled Pig,Relaxing Piano Pop Covers 2024 (Vol.7),1:22,https://open.spotify.com/track/5kSz6GTRdQFlLEhwhBKqZ8
The Old Therebefore (Acapella) - from The Hunger Games: The Ballad of Songbirds & Snakes,Rachel Zegler,The Old Therebefore (Acapella) [from The Hunger Games: The Ballad of Songbirds & Snakes],2:26,https://open.spotify.com/track/6SCFHABJgBiLiKxpbpaoLM
Gestures,Chris Messan,Gestures,3:06,https://open.spotify.com/track/1YIB1TrQczZXXiRdgbazDb
Rue's Farewell,James Newton Howard,The Hunger Games: Original Motion Picture Score,4:59,https://open.spotify.com/track/4nrwfhN2Wq68HsxkBdRrqR
We're Doing a Sequel,The Muppets,Muppets Most Wanted (Original Motion Picture Soundtrack),4:16,https://open.spotify.com/track/3CWiyGDaLRKVUS6ahKiAv1
I Was in Love,Jem Cooke,I Am Jem Cooke,4:21,https://open.spotify.com/track/0b3xDJR29smcJvM0YDwLFy
The Countdown,James Newton Howard,The Hunger Games: Original Motion Picture Score,1:58,https://open.spotify.com/track/4jpZXxWxQvNpgMyaQJe69a
The Train,James Newton Howard,The Hunger Games: Original Motion Picture Score,1:27,https://open.spotify.com/track/2yQckSZWBjONzoskXMdE5v
"Mercy - from ""The Hunger Games: The Ballad of Songbirds and Snakes"" Score",James Newton Howard,The Hunger Games: The Ballad of Songbirds and Snakes (Original Motion Picture Score),2:21,https://open.spotify.com/track/3oMawK9eqpd5Ln59b8tr4E
MOVIE DIFFERENT,Kardinal,MOVIE DIFFERENT,1:56,https://open.spotify.com/track/13yMt54k2vgOGctZM9XLb5
