track_name,artist_name,album_name,duration_minutes,spotify_url
Epic Adventures,StereojamMusic,Epic Inspirational Music,1:39,https://open.spotify.com/track/1PaA7SWRMD4XjzmXjpzdYo
Epic Inspiration,DM Production,Epic Inspiration,1:53,https://open.spotify.com/track/54doKUiniPgtdaXkFAz0U2
Epic Emotional,AShamaluevMusic,Epic Inspirational Music,4:12,https://open.spotify.com/track/7wH5TqLbDYRhvgbPi80JeT
Epic Motivational,StereojamMusic,Epic Inspirational Music,2:36,https://open.spotify.com/track/1yabaX59rsEmWzFXN0mlYi
Sky Map,Epic North,Skygate,2:26,https://open.spotify.com/track/2uD1LZLZpMAM2MzXTEe7iD
Cinematic Inspiring Epic,ProLuxeStudio,Inspirational Orchestra,2:00,https://open.spotify.com/track/5QeZYoY0u9Fqxw204LYfEL
Moonshade,Epic North,Skygate,2:28,https://open.spotify.com/track/4JvtQumnLeM3oy0BoN9zeC
Dreamscape (tranquil ambience),Tabletop Rpg Music,Tabletop RPG Music: Volume 2,2:04,https://open.spotify.com/track/28hEYBoETWPXswz14FDTc0
Heroic Opportunities,Soundcritters,Morrow Forge,2:40,https://open.spotify.com/track/6nKOXDtfpOWJlC18izYwQI
Epic Cinematic Dramatic Adventure Trailer,Romansenykmusic,Epic Cinematic Soundtracks,2:16,https://open.spotify.com/track/5XVWHHbxVricopU2bKp5a4
Ancient Halls,Ambient Realms,"Massive Ambient Music, Vol.1",3:14,https://open.spotify.com/track/5xXhnSbEn58p3k9C8oysGt
Epic Inspirational Orchestra,ProLuxeStudio,"Inspirational Orchestra, Vol. 2",1:44,https://open.spotify.com/track/7bhsWFAjSnYcoYUJXxdOhs
Epic Emotional Trailer,ProLuxeStudio,Epic Trailer Music,2:42,https://open.spotify.com/track/7JuZOOWU2cbrn623bSu98j
Epical,StereojamMusic,Epic Motivational Music,2:09,https://open.spotify.com/track/0CkZPSukSL20TLyWdCz4Uv
Rise - Epic Music,John Dreamer,Rise - Epic Music,2:18,https://open.spotify.com/track/4p9orqDwsLa855cYj2q71M
Adventure in the Forest,Ambience Fantasy,RPG Ambiance Fantasy - Heroic Fantastic Bard Music,6:10,https://open.spotify.com/track/4H2S6rYhXB7quN31NlrCdT
"Pensive Meditation, with Pirates",Brad Derrick,"The Elder Scrolls Online: Music of Tamriel, Vol. 2 (Original Game Soundtrack)",7:40,https://open.spotify.com/track/6WjRZkHeYrr79NBmCrmEUn
Epic Inspiration,AShamaluevMusic,Epic Inspiration,3:10,https://open.spotify.com/track/4oIqfvfPn6e0iB055OHnaK
A Place in the Stars,David Chappell,A Place in the Stars,3:35,https://open.spotify.com/track/0YYq78716dj39IcQ0RoTj2
Angel's Flight,Sound Adventures,Awakening,3:24,https://open.spotify.com/track/7zTte1M5Ku0GsblNBXucLP
Epic Background,StereojamMusic,Epic Inspirational Music,2:28,https://open.spotify.com/track/6kLKTO0viQx6pE3yC2llSV
Ambient Emotional Cinematic,Romansenykmusic,Soft Cinematic Soundtracks,2:15,https://open.spotify.com/track/3iRW391RwTm8QN9jSqjwmQ
Epic Cinematic Background,StereojamMusic,Epic Motivational Music,2:41,https://open.spotify.com/track/7mZGbHmHW1mdXWTLPpn1Zs
Epic Motivational Trailer,StereojamMusic,Epic Motivational Music,2:34,https://open.spotify.com/track/1zHCm3sYHy9avDbRpgSy7r
"Enchanted Lands, Vol. I",The Guild of Ambience,"Enchanted Lands, Vol. I",60:00,https://open.spotify.com/track/7y1Tcd50q87U8bIOA9Stda
Epic Inspirational,StereojamMusic,Epic Inspirational Music,1:14,https://open.spotify.com/track/6NpKhppS4Gmpnh40ykbsgR
"Enchanted Lands, Vol. II",The Guild of Ambience,"Enchanted Lands, Vol. II",60:00,https://open.spotify.com/track/3BNjgAYJVWrCG7jP9Sr66l
Inspiring Epic Film,ProLuxeStudio,Inspiring Orchestral Music,1:16,https://open.spotify.com/track/5sJ2nr6d3uxhRvcvZIVPau
Epic Inspiring,AShamaluevMusic,Epic Inspirational Music,3:05,https://open.spotify.com/track/1ggIiMDRRU7OHn7y66YDvb
Ambient,331Music,Royalty Free Background Music,2:13,https://open.spotify.com/track/3SsFgvT5api7ZGBP4FcMX0
Epic Inspirational,AShamaluevMusic,Epic Inspirational Music,2:28,https://open.spotify.com/track/5iyugupxDlHwHjJgEN4U7s
Heroica,Epic Score,Epic Orchestral Action (Inferno),3:07,https://open.spotify.com/track/4FjZMdXBdHGYubMvfbcQnH
Epic,AShamaluevMusic,Epic Inspirational Music,2:33,https://open.spotify.com/track/32PqIREahdNziYJ2Qt6XfM
Epic Motivational,AShamaluevMusic,Epic Inspirational Music,3:06,https://open.spotify.com/track/1mrNQfGmOIJvZVEf93ci06
Epic Inspiring Cinematic,StereojamMusic,Epic Motivational Music,2:08,https://open.spotify.com/track/6rXpUsPO35NL73kiE1VDDi
Invictus,Epic North,Skygate,2:29,https://open.spotify.com/track/0fo0kGRnNok05bgYFska0b
Epic Presentation,AShamaluevMusic,Epic Inspirational Music,3:25,https://open.spotify.com/track/49bacMZPrnY7o4FuiuM6Zo
Epic Cinematic,StereojamMusic,Epic Inspirational Music,2:14,https://open.spotify.com/track/2s1je0yJLrFFt53axqC1sm
Aurora,Epic North,Skygate,2:47,https://open.spotify.com/track/6hT2F8B1OuQ2C2fFYu76wk
Dark Forest,Ambient Realms,"Massive Ambient Music, Vol.1",3:13,https://open.spotify.com/track/5LYl1xi3941tugJr1GML1Y
Epic Heroic Motivational,Carlos Estella,Inspirational Cinematic,2:13,https://open.spotify.com/track/2ESIB5SOaGo8s0SjsXaEyW
Cinematic Ambient Corporate Inspiring Emotional,Romansenykmusic,Soft Cinematic Soundtracks,4:02,https://open.spotify.com/track/009zm4nS6Bl2GtHt2iitDA
Epic Inspirational Background,StereojamMusic,Epic Motivational Music,2:30,https://open.spotify.com/track/6Jk8mIW8dUbUVHqyvnjUOB
The Creeping Halls,Ambient Realms,"Massive Ambient Music, Vol. 6",4:27,https://open.spotify.com/track/5e8vSDnE2r58WtQcCLeOxn
Epic Motivational Background,StereojamMusic,Epic Motivational Music,2:37,https://open.spotify.com/track/28uPh15cAhQDEMUmzFybI5
